code,description
20800-9,C perfringens Etx Fsmi Ql
20801-7,E cuniculi Ab Ser Ql
20802-5,EHDV Ab Ser Ql Nt
20803-3,EHDV Ab Ser Ql
20804-1,EHDV Ag Bld Ql IF
20805-8,EHDV Ag Lung Ql IF
20806-6,SLEV Ab Ser Ql
20807-4,EAV Bld Ql Cult
20808-2,Ergot Alkaloid Spec-mCnc
20809-0,Ergot Alkaloid Feed-mCnt
20810-8,Deprecated A phagocytoph Ab Ser Ql
20811-6,E coli Spec Ql Cult FDA
20812-4,E coli987p TSMI Ql IF
20813-2,E coli F41 Islt Ql Aggl
20814-0,E coli F41 TSMI Ql IF
20815-7,E coli K88 TSMI Ql Aggl
20816-5,E coli K88 Islt Ql Aggl
20817-3,E coli K88 TSMI Ql IF
2081-8,CCK Plas-mCnc
20818-1,E coli K99 TSMI Ql Aggl
20819-9,E coli K99 Islt Ql Aggl
20820-7,Deprecated E coli K99 TSMI Ql Aggl
20821-5,E coli K99 Stl Ql Aggl
20822-3,E coli K99 TSMI Ql IF
20823-1,E coli O157H7 RawMilk Ql Cult
20824-9,Freezing Pnt Mlk
20825-6,Fumonisin Feed-mCnt
2082-6,Cholestanol SerPl-mCnc
20826-4,Gallotannin SerPl-mCnc
20827-2,Gallotannin Gast-mCnt
20828-0,Gallotannin Plant-mCnt
20829-8,Glycol Tiss-mCnt
20830-6,Glycol Ur-mCnc
20831-4,Glycolate Tiss-mCnt
20832-2,Gossypol Feed-mCnt
20833-0,H paragallinar Sertyp Islt
2083-4,Cholest Est Ser-cCnc
20834-8,Deprecated Herbicide XXX
20835-5,Herbicide Ingesta
20836-3,Herbicide Tiss
20837-1,Herbicide Feed
20838-9,Herbicide Gast Ql Scn
20839-7,Herbicide Spec Ql Scn
20840-5,Herbicide Ingesta Ql Scn
20841-3,Herbicide Tiss Ql Scn
2084-2,Cholest Ester SerPl-mCnc
20842-1,Herbicide Feed Ql Scn
20843-9,ILT Ag Trachea Ql IF
20844-7,ILT Ag Lung tiss Ql IF
20845-4,BoHV1 Ab Ser Ql IA
20846-2,BoHV1 Ag Tiss Ql IF
20847-0,BoHV2 Ag Exudate Ql IF
20848-8,BoHV2 Ag Tiss Ql IF
20849-6,BoHV4 Ag Fld Ql IF
20850-4,BoHV4 Ag Tiss Ql IF
20851-2,BoHV5 Ag Tiss Ql IF
20852-0,DVE Ag Tiss Ql IF
20853-8,EHV1 Ag Tracheal Swb Ql IF
20854-6,EHV1 Ag Tiss Ql IF
20855-3,IgG Bovine Ser ID-mCnc
20856-1,IgG Equine Fld Fetus ID-mCnc
20857-9,IgG Equine Col ID-mCnc
20858-7,IBV Gentyp Islt PAGE
2085-9,HDLc SerPl-mCnc
20859-5,IBV Sertyp Islt Nt
20860-3,IBV Tiss Ql Cult
20861-1,IBV Gentyp Islt NAA+probe
20862-9,FLUAV Ab Ser Ql HAI
20863-7,Iodine Wat-mCnc
20864-5,Iodine Mlk-mCnc
20865-2,Iodine Liver-mCnt
20866-0,L acidophilus CC # Mlk Cult
2086-7,Deprecated HDLc SerPl-mCnc
20867-8,Lead Bone-mCnt
20868-6,Leptospira Tiss Ql IF
20869-4,Leptospira Tiss Ql Cult
20870-2,Listeria Mlk Ql Cult
20871-0,Listeria Cheese Ql Cult
20872-8,Magnesium Ocflu-mCnc
20873-6,AHV1 Ab Ser Ql Nt
20874-4,Manganese Tiss-mCnt
2087-5,IDLc SerPl-mCnc
20875-1,Manganese Feed-mCnt
20876-9,Mercury Feed-mCnt
20877-7,Bacteria Islt Anim Inoc
20878-5,Bacteria Islt Anaerobe Cult
20879-3,Bacteria Mlk Aerobe Cult
20881-9,EM Thin Tiss
20882-7,EM Negative Stn Stl
2088-3,Deprecated IDLc SerPl-mCnc
20883-5,Dark Field Ur
20884-3,Dark Field Stl
20885-0,Dark Field Gast
20886-8,Molybdenum Spec-mCnc
20887-6,Molybdenum Tiss-mCnt
20888-4,Molybdenum Feed-mCnt
20889-2,Monensin Gast-mCnt
208-9,Cyclacillin Islt MLC
20890-0,Monensin Feed-mCnt
2089-1,LDLc SerPl-mCnc
20891-8,Mushroom identified
20892-6,M avium paraTB Tiss Ql Cult
20893-4,M avium paraTB Stl Ql Cult
20894-2,M avium paraTB Ab Ser Ql CF
20895-9,M gallisep Ag Tiss Ql ImStn
20896-7,Mycoplasma Tiss Ql Cult NPIP
20897-5,Mycoplasma Sertyp Islt
20898-3,Mycoplasma Mlk Ql Cult
20899-1,Mycoplasma Exudate Ql Cult
20900-7,Mycoplasma Ab Ser Ql IA
20901-5,Mycoplasma Ag Islt Ql ImStn
20902-3,Mycoplas+Ureoplas Tiss Ql Cult
20903-1,Mycotoxin Feed
20904-9,N caninum Ab Ser Ql IF
20905-6,Oleandrin Ur-mCnc
20906-4,Oleandrin Ingesta-mCnc
20907-2,OC Pesticides Bld
20908-0,OC Pesticides Spec
2090-9,Deprecated LDLc SerPl-mCnc
20909-8,OC Pesticides Gast
20910-6,OC Pesticides Mlk
20911-4,OC Pesticides Tiss
20912-2,OC Pesticides Bld Ql Scn
20913-0,OC Pesticides Spec Ql Scn
20914-8,OC Pesticides Gast Ql Scn
20915-5,OC Pesticides Mlk Ql Scn
20916-3,OC Pesticides Tiss Ql Scn
2091-7,VLDLc SerPl-mCnc
20917-1,OP Pesticides Bld Ql Scn
20918-9,OP Pesticides Spec Ql Scn
20919-7,OP Pesticides Gast Ql Scn
20920-5,OP Pesticides Tiss Ql Scn
20921-3,OP Pesticides Spec
20922-1,OP Pesticides Gast
20923-9,OP Pesticides Tiss
20924-7,O+P Stl Sedimentation
2092-5,Deprecated VLDLc SerPl-mCnc
20925-4,O+P Stl McMaster Conc
20926-2,O+P Stl Baerman Conc
20927-0,Oxalate Tiss-mCnt
20928-8,Oxalate Plant-mCnt
20929-6,Paraquat Gast-mCnc
20930-4,Paraquat Tiss-mCnt
20931-2,Parasites # Gast
20932-0,Parasite Spec Inspect
2093-3,Cholest SerPl-mCnc
20933-8,Parasite Ser Micro
20934-6,BPV Ag Tiss Ql IF
20935-3,P multoc Sertyp Islt ID
20936-1,Pentachlorophen Tiss-mCnt
20937-9,Pentachlorophen Fat-mCnt
20938-7,Phenols Gast-mCnc
20939-5,Phosphide GiCnt-mCnt
20940-3,Phosphide Feed-mCnt
2094-1,NE Cholest SerPl-mCnc
20941-1,Deprecated Phosphate SerPl-mCnc
20942-9,Plant identified
20943-7,BRSV Ag Lung Ql ImStn
20944-5,BRSV Ag Lung Ql IA
20945-2,BRSV Ag Lung Ql IF
20946-0,Vit A Liver-mCnt
20947-8,Vit A Feed-mCnt
20948-6,Vit A Tiss-mCnt
20949-4,Rickettsia Bld Ql Smear
20950-2,BRV Ag Tiss Ql IF
20951-0,Salmonella Sertyp Islt Aggl
20952-8,Salmonella Egg Cult
20953-6,Salmonella Tiss Cult
20954-4,Deprecated Salmonella XXX Cult
20955-1,Salmonella Stl Cult
20956-9,S neurona Ab Fld Ql IB
20957-7,S neurona Ab Ser Ql IB
2095-8,HDLc SerPl
20958-5,S neurona Ab Bld Ql IB
20959-3,S neurona Ag Tiss Ql ImStn
20960-1,Selenium Gast-mCnt
20961-9,Selenium Feed-mCnt
20962-7,S hyodysenter Sp Colon Ql Cult
20963-5,S hyodysenter Stl Ql Cult
20964-3,Shigella Feed Cult
20965-0,Somatic Cells # Mlk
2096-6,Cholest/Trigl SerPl
20966-8,Staphylococcus Spec Cult
20967-6,Staphylococcus Mlk Cult
20968-4,Staphylococcus Cheese Cult
20969-2,Strychnine Gast Ql
209-7,Cyclacillin Islt MIC
20970-0,Strychnine Spec Ql
20972-6,Strychnine Tiss-mCnt
20973-4,Sulfate Gast-mCnc
2097-4,Cholinesterase Amn-cCnc
20974-2,Sulfate SerPl-mCnc
20975-9,Thallium Tiss-mCnt
20976-7,T foet Preput Wash Ql Cult
20977-5,Urea Bld-mCnc
20978-3,Urea Gast-mCnc
20979-1,Urea Feed-mCnt
20980-9,VEEV Ab Titr Ser Nt
20981-7,Verotoxin Islt
2098-2,Cholinesterase SerPl-cCnc
20982-5,WEEV Ab Titr Ser Nt
20983-3,WEEV Ab Ser Ql IF
20984-1,WEEV Ab CSF Ql IF
20985-8,WEEV Ab Ser Ql CF
20986-6,WEEV Ab CSF Ql CF
20987-4,Yersinia Dairy Prod Cult
20988-2,Zinc Phosphide GiCnt-mCnt
20989-0,Zinc Phosphide Spec-mCnt
2099-0,Cholinesterase RBC-cCnc
20990-8,APC gene Mut Anl Bld/T
20991-6,AT III PPP-Imp
20992-4,B pert Ab Spec Ql
20993-2,Deprecated C trach rRNA XXX Ql Prb
20994-0,HCG SerPl-Imp
20995-7,Cortis 1h p ACTH SerPl-Imp
20996-5,CV B blend Ab Ser-Imp
20997-3,Deprecated Cryptosporidium
20998-1,Cell Fract CSF-Imp
20999-9,Cell Fract Fld-Imp
21000-5,RDW RBC Auto
21001-3,Fact VIII Spec-Imp
21002-1,Fibrinogen PPP-Imp
21003-9,Fungus Spec Fungus Stn
21004-7,GTT SerPl-Imp
21005-4,HBV core Ab Ser Donr IA-aCnc
2100-6,Cholylglycine Ser-mCnc
21006-2,HBV surface Ab Ser Donr IA-aCnc
21007-0,HIV1 Ab Ser Donr Ql
21008-8,HIV1 RNA # SerPl Probe
21009-6,Deprecated HIV1 Ser IB-Imp
21010-4,CD1 Cells # Bld
21011-2,CD13 Cells # Bld
21012-0,CD15 Cells # Bld
21013-8,CD22 Cells # Bld
2101-4,Cholylglycine Conj Ser-mCnc
21014-6,CD24 Cells # Bld
21015-3,CD33 Cells # Bld
21016-1,CD41 Cells # Bld
21017-9,CD57 Cells # Bld
21018-7,CD61 Cells # Bld
21019-5,Metaneph 24h Ur-mCnc
21020-3,Bacteria Spec Anaerobe+Aerobe Cult
21021-1,Gram Stn Bronch
2102-2,Chondrotin Sulf Ur-mCnc
21022-9,Gram Stn Dial fld
21023-7,ANCA Ab Titr Ser
21024-5,Path Interp CSF-Imp
21025-2,Path Interp Fld-Imp
21026-0,Path Interp Bld-Imp
21027-8,PA PPP-Imp
21028-6,Prot 24h Ur-Imp
2103-0,Choriomammotropin Amn-mCnc
21030-2,VDRL Ser Donr Ql
21031-0,SLEV Spec-Imp
21032-8,TT Bld-Imp
21033-6,Yeast Budding UrnS Ql
21034-4,11DC evening SerPl-mCnc
21035-1,11DC AM SerPl-mCnc
21036-9,17OHCS 24h Ur-mRate
21037-7,17OH-Preg 24h Ur-mRate
21038-5,17KS 24h Ur-mCnc
21039-3,18OH-Cortis 24h Ur-mCnc
21040-1,Deprecated A-Ketoglut/creat Ur-mRto
21041-9,3OH-dodecanedioate/Creat Ur
21042-7,3OH-dodecanoate/Creat Ur
21043-5,3Me4OH-phenylglycol 24h Ur-mCnc
21044-3,5-A THF 24h Ur-mRate
21045-0,5OH-Tryptophan 24h Ur-mRate
21046-8,7Aminoflunitrazepam SerPl-mCnc
21047-6,8OH-Loxapine Ur-mCnc
2104-8,Choriomammotropin Ser-mCnc
21048-4,Acetaldehyde Ur-mCnc
21049-2,Acetone Tiss-mCnt
210-5,Cyclacillin Islt KB
21050-0,Deprecated 6MAM Ur-mCnc
21051-8,Acrylaldehyde SerPl-mCnc
21052-6,cAMP Nephrogenous Ur+SerPl-sCnc
21053-4,HAdV IgG Titr Ser
21054-2,HAdV IgM Ser Ql
2105-5,HCG Smn-sCnc
21055-9,HAdV DNA SerPl Ql NAA+probe
21056-7,Amino Acids mixA Ur Ql
21057-5,Amino Acids mixB SerPl Ql
21058-3,Albumin 2h p PD SerPl-mCnc
21059-1,Albumin 24h Ur-mCnc
21060-9,Grey Alder IgE RAST Ql
21061-7,Alfalfa IgG RAST Ql
21062-5,Allobarbital SerPl-mCnc
2106-3,HCG Preg Ur Ql
21063-3,Almond IgG RAST Ql
21064-1,Acid A-Glucosidase Amn-cCnc
21065-8,A alternata IgG RAST Ql
21066-6,Ampicillin Spec-mCnc
21067-4,Black Ant IgE RAST Ql
21068-2,Red Ant IgE RAST Ql
21070-8,Other Antibiotic Islt MIC
2107-1,HCG Ur-sCnc
21071-6,Antimony 24h Ur-mCnc
21072-4,Apple IgG RAST Ql
21073-2,Apricot IgG RAST Ql
21074-0,Arsenic 24h Ur-mCnc
21075-7,A lumbric IgE Qn
21076-5,A lumbric IgE RAST Ql
21077-3,Black Ash IgE Qn
21078-1,Green Ash IgE Qn
21079-9,Green Ash IgE RAST Ql
21080-7,GM1 Asialo Ab Titr Ser
21081-5,ASPA gene Mut Anl Bld/T
21082-3,Asparagus IgG RAST Ql
21083-1,Deprecated Aspen IgE RAST Ql
21084-9,A flavus Ab CSF Ql ID
21085-6,A fumigatus Ab CSF Ql ID
21086-4,A niger Ab CSF Ql ID
21087-2,A terreus IgE RAST Ql
21088-0,Azinphos-Mehyl Ur-mCnc
2108-9,A-HCG SerPl Ql
21089-8,B microti DNA Bld Ql NAA+probe
21090-6,Banana IgG RAST Ql
21091-4,Barbiturates Present SerPl Scn
21092-2,Barley IgG RAST Ql
21093-0,BM IgG Ser IF-Imp
21094-8,Basophils/leuk NFr Spt Manual
21095-5,BCL2 gene Rear Bld/T Ql
21096-3,Black Bean IgE Qn
2109-7,A-HCG SerPl-sCnc
21097-1,Black Bean IgE RAST Ql
21098-9,Green Bean IgG RAST Ql
21099-7,Red Kidney Bean IgG RAST Ql
21100-3,Mung Bean IgG RAST Ql
21101-1,Pinto Bean IgG RAST Ql
21102-9,Soybean IgG RAST Ql
21104-5,Soybean dust IgE RAST Ql
2110-5,B-HCG Preg SerPl Ql
21105-2,Yellow Bean IgG RAST Ql
21106-0,Beef IgG RAST Ql
21107-8,Bendiocarb Ur-mCnc
21108-6,B2 Glycoprot1 IgA Ser-aCnc
21109-4,B-Lactoglob IgG RAST Ql
21110-2,Hexosaminidase B CFr Bld
21111-0,Hexosaminidase B CFr SerPl
21112-8,Birth date
2111-3,B-HCG SerPl-sCnc
21113-6,Bismuth 24h Ur-mCnc
21114-4,Deprecated Blasts Fr Bld Auto
21115-1,Blueberry IgG RAST Ql
21116-9,B burgdor66kD IgM Ser Ql IB
21117-7,B burgdor93kD IgM Ser Ql IB
21118-5,B burgdor IgG Snv Ql IA
21119-3,B burgdor IgM Snv Ql IA
21120-1,B burgdor DNA Ur Ql NAA+probe
2112-1,B-HCG Preg Ur Ql
21121-9,B hermsii IgG Titr Ser IF
21122-7,B hermsii IgM Titr Ser IF
21123-5,Wheat Bran IgE RAST Ql
21124-3,Broccoli IgG RAST Ql
21125-0,Brush border Ab Titr Ser IF
21126-8,Brussel Sprouts IgG RAST Ql
21127-6,Cabbage IgG RAST Ql
21128-4,Cadmium Nail-mCnt
21129-2,Cadmium SerPl-mCnc
211-3,Cyclacillin Titr SBT
21130-0,Cadmium 24h Ur-mCnc
21131-8,Calcit 10M p 0.5 ug/kg Pg IV SerPl-mCnc
21132-6,Calcit 1M p 0.5 ug/kg Pg IV SerPl-mCnc
21133-4,Calcit 2M p 0.5 ug/kg Pg IV SerPl-mCnc
21134-2,Calcit 3M p 0.5 ug/kg Pg IV SerPl-mCnc
21135-9,Canrenone SerPl-mCnc
21136-7,Deprecated Melon IgG RAST Ql
21137-5,Carageenan IgE RAST Ql
21138-3,Carbaryl Ur-mCnc
2113-9,B-HCG 24h Ur-mRate
21139-1,Carbofuran Ur-mCnc
21140-9,Carbophenothion Ur-mCnc
21141-7,Cardamon IgE RAST Ql
21142-5,Carisoprodol Ur Ql
21143-3,Carp IgE Qn
21144-1,Carp IgE RAST Ql
21145-8,Carrot IgG RAST Ql
21146-6,Casein IgG RAST Ql
2114-7,B-HCG Ur-sCnc
21147-4,Cauliflower IgG RAST Ql
21148-2,White Cedar IgE Qn
21149-0,Deprecated Cefaclor IgE Ser-aCnc
21150-8,Cefaclor IgE RAST Ql
21151-6,cefTAZidime Spec-mCnc
21152-4,Celery IgG RAST Ql
21153-2,Deprecated CD10 Cells Fr XXX
2115-4,B-HCG Free SerPl-sCnc
21154-0,CD11c Cells NFr Spec
21155-7,Deprecated CD13 Cells Fr XXX
21156-5,Deprecated CD14 Cells Fr XXX
21157-3,Deprecated CD19 Cells Fr XXX
21158-1,Deprecated CD20 Cells Fr XXX
21159-9,Deprecated CD23 Cells Fr XXX
21160-7,Deprecated CD3 Cells Fr XXX
21161-5,Deprecated CD33 Cells Fr XXX
2116-2,HGC Intact SerPl Ql
21162-3,Deprecated CD34 Cells Fr XXX
21163-1,Deprecated CD38 Cells Fr XXX
21164-9,Deprecated CD4 Cells Fr XXX
21165-6,Deprecated CD5 Cells Fr XXX
21166-4,CD56 Cells NFr Spec
21167-2,CD61 Cells NFr Spec
21168-0,Deprecated CD7 Cells Fr XXX
21169-8,CD71 Cells NFr Spec
2117-0,HGC Intact SerPl-sCnc
21170-6,Deprecated CD8 Cells Fr XXX
21171-4,FMC7 Cells NFr Spec
21172-2,Other cells NFr Spec
21173-0,Cephaeline SerPl-mCnc
21174-8,Cephaeline Ur-mCnc
21175-5,Cephalexin Spec-mCnc
21176-3,Cerebrov Lin Cell CSF Ql Micro
21177-1,Deprecated CFTR gene Mut Anal Bld/T
21178-9,Cheddar IgG RAST Ql
21179-7,Cream Cheese IgE RAST Ql
21180-5,Roquefort IgE RAST Ql
21181-3,Cherry IgG RAST Ql
21182-1,Chicken IgG RAST Ql
21183-9,Chicken Meat IgG RAST Ql
21184-7,C pneum Spec Ql Cult
21185-4,Chlamydia IgG Ser Ql
21186-2,Chlamydia IgM Ser Ql
21187-0,C trach DNA Conjunct Ql NAA+probe
2118-8,HCG Preg SerPl Ql
21188-8,C trach rRNA Conjunct Ql Probe
21189-6,C trach DNA Cerv mucus Ql NAA+probe
21190-4,C trach DNA Cvx Ql NAA+probe
21191-2,C trach DNA Urth Ql NAA+probe
21192-0,C trach rRNA Urth Ql Probe
21193-8,Chlordiazep+Nor SerPl-mCnc
21194-6,Chloride 24h Ur-sCnc
21195-3,Chlorzoxazone Ur-mCnc
2119-6,HCG SerPl-sCnc
21196-1,Chocolate IgG RAST Ql
21197-9,Cholest Ester MFr SerPl
21198-7,B-HCG SerPl-aCnc
21199-5,Chromium Fld-mCnc
21200-1,Chromium Nail-mCnt
21201-9,Chromium 24h Ur-mCnc
21202-7,Cinnamon IgG RAST Ql
21203-5,Citrate 24h Ur-mCnc
2120-4,Chylo SerPl-mCnc
21204-3,Clam IgG RAST Ql
21205-0,Clove IgG RAST Ql
21206-8,Sweet Clover IgE Qn
21207-6,CCR5 gene Mut Anl Bld
21208-4,Cobalt 24h Ur-mCnc
21209-2,C immitis Ab CSF Ql ID
212-1,cycloSERINE Islt MLC
21210-0,Cockatiel Drop IgE RAST Ql
21211-8,Cockatiel Feather IgE RAST Ql
2121-2,Chylo SerPl Ql
21212-6,Coconut IgG RAST Ql
21213-4,Codfish IgG RAST Ql
21214-2,Coffee IgG RAST Ql
21215-9,Collagen NTx Ser-sCnc
21216-7,Collagen NTx/Creat 24h Ur-sRto
21217-5,C4d Plas-mCnc
21218-3,CH50 CSF-aCnc
21219-1,Copper 24h Ur-mCnc
2122-0,Chymopapain Ser-mCnc
21220-9,Cilantro IgE RAST Ql
21221-7,Corn IgG RAST Ql
21222-5,Cortis 11 PM SerPl-mCnc
21223-3,Cortis sp1 p chal SerPl-mCnc
21224-1,Cortis 2h p chal SerPl-mCnc
21225-8,Cortis 3h p chal SerPl-mCnc
21226-6,Cortis 4 PM SerPl-mCnc
21227-4,Cotton Linters IgE RAST Ql
21228-2,Cottonseed IgG RAST Ql
21229-0,Coumaphos Ur-mCnc
21230-8,Cow Milk IgG RAST Ql
21231-6,Crab IgG RAST Ql
21232-4,Creat BldA-mCnc
21233-2,Cryptosp Ag Stl Ql
21234-0,Cucumber IgG RAST Ql
21235-7,Cumin IgE RAST Ql
21236-5,Cyclohexanone Ur-mCnc
21237-3,CMV IgM Titr CSF IF
2123-8,Chymotryp Fld-cCnc
21238-1,Deer Hair IgE RAST Ql
21239-9,Desalkylhalazepam SerPl-mCnc
21240-7,D-methorphan Ur-mCnc
21241-5,diazePAM+Nor Ur-mCnc
21242-3,Protopor ?Tm Stl-mRate
21243-1,Diethyl Ether Ur-mCnc
21244-9,Deprecated Diethylpropion SerPl-mCnc
21245-6,Diisobutylketone Ur-mCnc
2124-6,Chymotryp SerPl-mCnc
21246-4,Dimethoate Ur-mCnc
21247-2,DMD gene Mut Anl Bld/T
21248-0,DOBUTamine SerPl-mCnc
21249-8,Dolichol Ur-mCnc
21250-6,Doxycycline Spec-mCnc
21251-4,E granulosus IgE RAST Ql
21252-2,E granulosus IgG Ser Ql IB
2125-3,Chymotryp Stl-mCnt
21253-0,Egg White IgG RAST Ql
21254-8,Egg Yolk IgG RAST Ql
21255-5,Eggplant IgG RAST Ql
21256-3,Deprecated Burweed marshelder IgE RAST Q
21257-1,Deprecated Burweed marshelder IgE RAST Q
21258-9,Endive IgG RAST Ql
21259-7,E histolyt Ab Titr Ser HA
21260-5,EBV NA Ab Titr Ser IF
2126-1,Citrate Smn-mCnc
21261-3,Erythromycin IgE RAST Ql
21262-1,E coli SXT Stl Ql IA
21263-9,Estradiol 24h Ur-mRate
21264-7,u Estriol adj MoM SerPl
21265-4,u Estriol unadj MoM SerPl
21266-2,Ethion Ur-mCnc
21267-0,EPN Ur-mCnc
21268-8,Fenchlorphos Ur-mCnc
21269-6,Fenthion Ur-mCnc
21270-4,Fig IgE RAST Ql
21271-2,Fireweed IgE Qn
21272-0,Fireweed IgE RAST Ql
21273-8,Flax IgE RAST Ql
21274-6,Flounder IgG RAST Ql
21275-3,FSH 15M p GnRH SerPl-aCnc
21276-1,FSH 1h p chal SerPl-aCnc
21277-9,FSH 2h p GnRH SerPl-aCnc
21278-7,FSH 45M p GnRH SerPl-aCnc
2127-9,Citrate SerPl-mCnc
21279-5,FSH 1.5h p chal SerPl-aCnc
21280-3,Fonofos Ur-mCnc
21281-1,F oxysporum IgE RAST Ql
21282-9,GD1a Gangl IgM Titr Ser IA
21283-7,GD1a Gangl IgG Titr Ser IA
21284-5,G vaginalis Genital Ql Cult
21285-2,Garlic IgG RAST Ql
21286-0,Gastrin 1.5h p 0.2 U/kg SCT SerPl-mCnc
2128-7,Citrate Ur-mCnc
21287-8,Gastrin 1h p 0.2 U/kg SCT SerPl-mCnc
21288-6,Gastrin 2.5h p 0.2 ug/kg SCT SerPl-mCnc
21289-4,Gastrin 2h p 0.5 U/kg SCT SerPl-mCnc
21290-2,Gastrin 3.5h p 0.2 U/kg SCT SerPl-mCnc
21291-0,Gastrin 3h p 0.2 u/kg SCT SerPl-mCnc
21292-8,Gastrin 40M p 0.2 u/kg SCT SerPl-mCnc
21293-6,Gastrin 45M p 0.2 u/kg SCT SerPl-mCnc
21294-4,Gastrin 4h p 0.2 u/kg SCT SerPl-mCnc
2129-5,Citrulline SerPl Ql
21295-1,Gastrin 50M p 0.2 u/kg SCT SerPl-mCnc
21296-9,Gastrin 7M p 0.2 u/kg SCT SerPl-mCnc
21297-7,Bovine Gelatin IgE RAST Ql
21298-5,Porcine Gelatin IgE RAST Ql
21299-3,GA method
21300-9,G lamblia IgA Titr Ser IF
21301-7,G lamblia IgM Titr Ser IF
21302-5,G lamblia Ag sp2 Stl Ql IA
2130-3,Citrulline SerPl-mCnc
21303-3,G lamblia Ag sp3 Stl Ql IA
21304-1,Ginger IgG RAST Ql
21305-8,Glucose 24h Ur-mCnc
21306-6,Glucose 8h Ur-mRate
21307-4,Glucose 10h Ur-mRate
21308-2,Glucose 105M p chal SerPl-mCnc
21309-0,Glucose 45M p chal SerPl-mCnc
21310-8,Glucose 75M p chal SerPl-mCnc
2131-1,Citrulline Ur-mCnc
21311-6,Gluten IgG RAST Ql
21312-4,Gold Fld-mCnc
21313-2,Grain Elevat Dust IgE RAST Ql
21314-0,Grape IgG RAST Ql
21315-7,Grapefruit IgG RAST Ql
21316-5,Grepafloxacin Islt Grad strip
21317-3,Deprecated Groundsel Tree IgE Qn
21318-1,Deprecated Groundsel Tree IgE RAST Ql
21319-9,Haddock IgG RAST Ql
21320-7,Haem influ B Ag Spec Ql LA
21321-5,Halibut IgG RAST Ql
21322-3,PUUV IgG Titr Ser IF
21323-1,PUUV IgM Titr Ser IF
21324-9,H sativum IgE RAST Ql
21325-6,Deprecated Helminthosporium IgE RAST Ql
21326-4,HSV1 IgM Titr Ser
21327-2,HSV2 IgM Titr Ser
21328-0,Hexosaminidase A & B Bld-Imp
2132-9,Vit B12 SerPl-mCnc
21329-8,Shagbark Hickory IgE RAST Ql
21330-6,H capsul Ab CSF Ql ID
21331-4,HIV1 p24 Ab Titr Ser IB
21332-2,HIV1 p41 Ab Titr Ser IB
21333-0,HIV1 RNA # Ser
21334-8,HIV2 gp105 Ab Ser Ql IB
21335-5,HIV 2 gp120 Ab Ser Ql IB
21336-3,HIV2 gp15 Ab Ser Ql IB
2133-7,Collagenase Ser-cCnc
21337-1,HIV2 gp34 Ab Ser Ql IB
21338-9,HIV2 p31 Ab Ser Ql IB
21339-7,HIV2 p55 Ab Ser Ql IB
21340-5,HIV2 p58 Ab Ser Ql IB
21341-3,HLA-DR locus
21342-1,HLA-DR locus 2
21343-9,HLA-DR+DQ
21344-7,House Dust Greer IgG RAST Ql
2134-5,Copro RBC-sCnc
21345-4,HTLV I+II Ab CSF Ql IB
21346-2,HTLV I+II Ab Patrn CSF IB-Imp
21347-0,HTLV I+II Ab Patrn Ser IB-Imp
21348-8,HTLV I+II IgG Ser Ql IA
21349-6,IgA CSF Ql IFE
21350-4,IgG CSF Ql IFE
21351-2,IgM CSF Ql IFE
2135-2,Copro 24h Stl-mRate
21352-0,ICS IgG Ser IF-Imp
21353-8,West Juniper IgE RAST Ql
21354-6,Karaya Gum IgE RAST Ql
21355-3,Ketones 2.5h p chal Ur Ql
21356-1,Ketones 3.5h p chal Ur Ql
21357-9,Ketones 1.5h p chal Ur Ql
21358-7,A-Lactalb IgG RAST Ql
21359-5,B-Galactosidase IgE RAST Ql
2136-0,Copro Ur Ql
21360-3,Lamb IgG RAST Ql
21361-1,Laxatives Present Stl Scn
21362-9,L pneumo IgG Titr Ser IF
21363-7,L pneumo DNA Spec Ql NAA+probe
21364-5,Lemon IgG RAST Ql
21365-2,Leptin SerPl-mCnc
21366-0,Lettuce IgG RAST Ql
21367-8,levoFLOXacin Islt KB
21368-6,levoFLOXacin SerPl-mCnc
21369-4,Licorice IgE RAST Ql
21370-2,Lime IgG RAST Ql
21371-0,Lobster IgG RAST Ql
21372-8,Lymph Abn/leuk NFr CSF Manual
21373-6,Lymph Abn/leuk NFr Snv Manual
21374-4,CD8+CD38+ Cells # Bld
21375-1,Lymphs Kappa/Lambda Bld
21376-9,Macadamia IgE RAST Ql
21377-7,Magnesium Bld-mCnc
2137-8,Copro 24h Ur-mRate
21378-5,Malathion Ur-mCnc
21379-3,Malt IgG RAST Ql
21380-1,Prolactin 24h Ur-mRate
21381-9,Prolactin 1.5h p chal SerPl-mCnc
21382-7,Manganese 24h Ur-mCnc
21383-5,Mercury 24h Ur-mCnc
21384-3,Mesothl Cell Prt Ql Micro
21385-0,Metasystox Ur-mCnc
2138-6,COPROgen-oxidase Ser-cCnc
21386-8,Methamphet Ur Ql SAMHSA Cfm
21387-6,Methylhippurate Ur-mCnc
21388-4,Mevinphos Ur-mCnc
21389-2,S rectivirgula IgE Qn
213-9,cycloSERINE Islt MIC
21390-0,S rectivirgula IgE RAST Ql
21391-8,ACP Stn Bone
21392-6,Deprecated Common Millet IgE RAST Ql
21393-4,Monkey Epith IgE RAST Ql
2139-4,Corticoster SerPl-mCnc
21394-2,Monos+Macros/leuk NFr Fld Manual
21395-9,Monos+Macros/leuk NFr Snv Manual
21396-7,Mononuc Cells # CSF Manual
21397-5,Mononuc Cells # Fld Manual
